,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_auc,mean_test_balanced_accuracy,mean_test_precision_score
47,0.5375,0.44406454832051895,0.6012456234218505,0.5829834157514423,0.5829834157514423,0.38090900327742433
48,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
49,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
50,,,,,,
51,,,,,,
52,0.5375,0.44406454832051895,0.6012456234218505,0.5829834157514423,0.5829834157514423,0.38090900327742433
53,,,,,,
54,,,,,,
55,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
56,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
57,0.5375,0.44406454832051895,0.6012456234218505,0.5829834157514423,0.5829834157514423,0.38090900327742433
58,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
59,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
60,,,,,,
61,,,,,,
62,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
63,,,,,,
64,,,,,,
65,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
66,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
67,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
68,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
69,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
70,,,,,,
71,,,,,,
72,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
73,,,,,,
74,,,,,,
75,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
76,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
77,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
78,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
79,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
80,,,,,,
81,,,,,,
82,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
83,,,,,,
84,,,,,,
85,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
86,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
87,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
88,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
89,0.5375,0.44478873619554476,0.6024940628725372,0.5838746813485902,0.5838746813485902,0.3820874544558755
