,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_auc,mean_test_balanced_accuracy,mean_test_precision_score
157,0.034375,0.0647477277513182,0.9605416666666666,0.5167534722222222,0.5167534722222222,0.6482051282051282
158,0.042708333333333334,0.08013478107675172,0.9610416666666668,0.5210069444444445,0.5210069444444445,0.734532967032967
159,0.04583333333333333,0.08549005583788193,0.9610833333333332,0.5225260416666666,0.5225260416666666,0.7194444444444443
160,0.04791666666666666,0.08929571667544953,0.9609583333333334,0.5234592013888889,0.5234592013888889,0.6759502262443439
161,0.0875,0.15306993180690193,0.9614583333333332,0.5426866319444444,0.5426866319444444,0.6410665024630542
162,0.08958333333333333,0.15574477208322265,0.9614166666666668,0.5436631944444444,0.5436631944444444,0.6336377348142055
163,0.08750000000000001,0.1530913053051061,0.961375,0.5426432291666667,0.5426432291666667,0.6294721076885763
164,0.09479166666666666,0.16488227525375848,0.9616666666666667,0.5462890625,0.5462890625,0.6516536095483463
165,0.12604166666666666,0.20720980881829193,0.9615,0.5611762152777777,0.5611762152777778,0.5920782145782145
166,0.13333333333333333,0.2180459555851358,0.9618333333333334,0.56484375,0.56484375,0.612042004528011
167,0.12916666666666668,0.2126570252602868,0.961875,0.5628689236111111,0.5628689236111111,0.6135906611154354
168,0.14270833333333333,0.23066606716197077,0.9619583333333332,0.5694010416666666,0.5694010416666666,0.6136258814560701
169,0.17916666666666664,0.2739289248036328,0.9620000000000001,0.5868923611111111,0.5868923611111112,0.5870750190585097
170,0.16979166666666667,0.26325478500715604,0.962,0.5824001736111112,0.5824001736111112,0.5957728552900937
171,0.15208333333333332,0.24247232129911556,0.9620833333333334,0.5739583333333333,0.5739583333333333,0.6090153256704981
172,0.18020833333333336,0.2764459767738715,0.9623750000000001,0.5875868055555555,0.5875868055555555,0.6065646753933807
173,0.20416666666666666,0.30100267211227194,0.9620416666666667,0.5988932291666667,0.5988932291666668,0.5769310116985841
174,0.1875,0.282994835732158,0.9619583333333332,0.5908637152777778,0.5908637152777778,0.5816574789395061
175,0.18229166666666669,0.2800203893567429,0.9625,0.588650173611111,0.588650173611111,0.6081880024737167
176,0.19583333333333336,0.29358631165771515,0.9623333333333333,0.5950520833333334,0.5950520833333334,0.5963709651543816
177,0.22291666666666665,0.3213137410605918,0.9622499999999998,0.6079861111111111,0.6079861111111111,0.5776174901196576
178,0.21354166666666666,0.3134143368819915,0.9625416666666666,0.6036458333333334,0.6036458333333333,0.5911831904035858
179,0.196875,0.295813856745698,0.9625416666666666,0.5956597222222222,0.5956597222222222,0.5996087026815736
