,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
63,0.7501383831696642,0.7520732240185819,0.7503934435388273,0.7827380952380952,0.778760004568751,0.778760004568751,0.7557254587146215
64,0.7480550498363309,0.7516386303636493,0.7486287673148984,0.7827380952380952,0.7786653075990542,0.7786653075990541,0.7570866202391224
65,0.7480550498363309,0.7516386303636493,0.7486287673148984,0.7827380952380952,0.7786653075990542,0.7786653075990541,0.7570866202391224
66,0.7728440269962117,0.7737806524753286,0.7730218307862426,0.8005952380952381,0.7971704955641504,0.7971704955641504,0.7748377883032649
67,0.7728440269962117,0.7737806524753286,0.7730218307862426,0.8005952380952381,0.7971704955641504,0.7971704955641504,0.7748377883032649
68,0.7728440269962117,0.7737806524753286,0.7730218307862426,0.8005952380952381,0.7971704955641504,0.7971704955641504,0.7748377883032649
69,0.7683463441097502,0.7692292247246062,0.7684751906696098,0.7966269841269841,0.793045104978513,0.793045104978513,0.7707271378109208
70,0.7683463441097502,0.7692292247246062,0.7684751906696098,0.7966269841269841,0.793045104978513,0.793045104978513,0.7707271378109208
71,0.7683463441097502,0.7692292247246062,0.7684751906696098,0.7966269841269841,0.793045104978513,0.793045104978513,0.7707271378109208
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,0.7519120784140645,0.7482230075807594,0.7510327774008994,0.7777777777777778,0.7743113350180308,0.7743113350180308,0.7462247857720942
97,0.7519120784140645,0.7482230075807594,0.7510327774008994,0.7777777777777778,0.7743113350180308,0.7743113350180308,0.7462247857720942
98,0.7519120784140645,0.7482230075807594,0.7510327774008994,0.7777777777777778,0.7743113350180308,0.7743113350180308,0.7462247857720942
99,0.7534319945566222,0.7462949946410226,0.7518252007306716,0.7738095238095238,0.7714824151797797,0.7714824151797796,0.741273299958227
100,0.7534319945566222,0.7462949946410226,0.7518252007306716,0.7738095238095238,0.7714824151797797,0.7714824151797796,0.741273299958227
101,0.7534319945566222,0.7462949946410226,0.7518252007306716,0.7738095238095238,0.7714824151797797,0.7714824151797796,0.741273299958227
102,0.7125094247673691,0.7076406550314318,0.7113947741085425,0.7400793650793651,0.7368710116178367,0.7368710116178367,0.7044611528822056
103,0.7125094247673691,0.7076406550314318,0.7113947741085425,0.7400793650793651,0.7368710116178367,0.7368710116178367,0.7044611528822056
104,0.7125094247673691,0.7076406550314318,0.7113947741085425,0.7400793650793651,0.7368710116178367,0.7368710116178367,0.7044611528822056
105,0.711451552098275,0.7065800394156008,0.7102675361176655,0.7380952380952381,0.7356332110302771,0.7356332110302771,0.70432676258824
106,0.7091367372834603,0.7051256702482271,0.7081328148766809,0.7371031746031746,0.7344758036228697,0.7344758036228697,0.7036402637324047
