,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_precision_score,mean_test_auc,mean_test_fbeta_score,mean_test_balanced_accuracy
45,0.6777829837880999,0.6835794686193266,0.7212254063041287,0.6897457641160623,0.7169860250833747,0.6789137735774711,0.7169860250833746
46,0.6639566357008547,0.6642177244792326,0.7017658977575107,0.6647121488395377,0.6980938072353271,0.6639902448900242,0.6980938072353271
47,0.6623647934139585,0.6628778937957026,0.7006622973659864,0.663572311526808,0.6969187552316155,0.6624529798033347,0.6969187552316155
48,0.6747403263887304,0.682069700134591,0.7205354846455863,0.689821764839226,0.716064762080098,0.6761738418450209,0.716064762080098
49,0.6793031076917325,0.6846017412067594,0.721915632698386,0.6902496919152004,0.71774907543244,0.6803358247338658,0.71774907543244
50,0.6691579589114829,0.668033868875417,0.7045263462309677,0.6671051540343587,0.7010768429167737,0.6689173740840153,0.7010768429167737
51,0.6651213227570025,0.6645363655249039,0.7016291476054477,0.6641086112250011,0.6980471793128404,0.6649917224586471,0.6980471793128404
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,0.6747921546310799,0.6819712208437121,0.7203974393667348,0.6895808151357308,0.7159573685896305,0.6761950165725051,0.7159573685896307
61,0.6790233103177078,0.684407310767914,0.7217776636034632,0.6901479077466943,0.717600808750547,0.6800725010016664,0.717600808750547
62,0.6676107160906233,0.6666860954882093,0.7034222125519423,0.6659751347743306,0.6999367700477118,0.6674085808937544,0.6999367700477118
63,0.6660731116381807,0.6653616144707044,0.7023190692639901,0.6648354900608617,0.6987795281847751,0.6659159193926005,0.6987795281847751
64,0.675667405944786,0.6831176455710288,0.7215018015975465,0.6909755638138849,0.7170218685617362,0.6771262288949413,0.7170218685617362
65,0.6793302266089594,0.6849334649529768,0.7223296161670829,0.6908943993237208,0.7181296841497813,0.6804232731848436,0.7181296841497813
66,0.6666971959931811,0.6660742041666816,0.7030080767153879,0.6656583757806261,0.6994719849855855,0.6665559502045537,0.6994719849855855
67,0.6639144458269223,0.6639145533497443,0.7013526761281013,0.6641115979247214,0.6976998130512158,0.663898715745735,0.6976998130512158
68,0.6753517493791295,0.6828041384860561,0.7212257872237724,0.6906527180053835,0.7167377776526453,0.6768118716288278,0.7167377776526453
