,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_precision_score,mean_test_auc,mean_test_fbeta_score,mean_test_balanced_accuracy
30,0.892527924724627,0.9086678325401567,0.9202594521604939,0.9254173859596625,0.9174892928655813,0.8957087746967444,0.9174892928655813
31,0.8947560483272936,0.9095981112092584,0.9209587191358025,0.9249799455698999,0.9183431141696844,0.8976827354418141,0.9183431141696843
32,0.8525425288949979,0.8755076728192588,0.8922405478395061,0.8997550879757947,0.888272355014309,0.857037918624833,0.888272355014309
33,0.8518333187697931,0.8756826481026515,0.8925057870370371,0.9009120505917364,0.8884384114411858,0.8564982651984292,0.8884384114411857
34,0.8317067973601122,0.8706014238043709,0.8901186342592592,0.9133206951561899,0.8842789677662265,0.8392046725095601,0.8842789677662264
35,0.8308376424012448,0.869837939336187,0.8894917052469136,0.9126866659002908,0.8836274438668796,0.8383549761897043,0.8836274438668796
36,0.8919886574692509,0.9004586247506874,0.9123505015432098,0.9090991415798197,0.9103163279618941,0.8936692587046392,0.9103163279618941
37,0.8919287401536494,0.900305433105419,0.912205825617284,0.9088417070181442,0.9101781973000207,0.8935915283706126,0.9101781973000207
38,0.8692493651632264,0.8952069863110834,0.9095534336419753,0.9227736093688252,0.905524276293853,0.8743190111964853,0.905524276293853
39,0.8690874869147878,0.8946900333052601,0.9090711805555556,0.9218594224815582,0.905074167536958,0.8740892409895147,0.9050741675369581
40,0.8417494129795478,0.8694288408116725,0.8876350308641976,0.8990214412588544,0.883050720849169,0.847141343093851,0.8830507208491689
41,0.8428343371012181,0.8699910225454688,0.8880449459876543,0.8989761917122278,0.8835277047894745,0.8481278363652703,0.8835277047894746
42,0.8011211731306884,0.8547703747777287,0.8790268132716049,0.9162143291483599,0.8712436335115269,0.8113001954335555,0.8712436335115269
43,0.800790675962481,0.8546052246831828,0.87890625,0.916226480802008,0.871099819071743,0.8110015457453745,0.8710998190717429
44,0.8713130373777819,0.8881754790493763,0.9024884259259258,0.9057085234755692,0.8993722038221554,0.8746337446170086,0.8993722038221555
45,0.8722905811275539,0.888557880470769,0.9027536651234567,0.9054512624869651,0.8997093783555734,0.8754956508582948,0.8997093783555734
46,0.8451149436641359,0.8821220783565531,0.8996190200617284,0.9225531869145795,0.8941737756293758,0.852263685719485,0.8941737756293758
47,0.8455995589287192,0.8823330979142355,0.8997636959876543,0.9224340125950181,0.8943515592122724,0.852697565480981,0.8943515592122724
